0 11 175
1 14 306
2 19 560
3 30 1054
4 41 1004
5 56 1026
6 77 1055
7 115 1015
8 121 1096
9 130 1012
10 132 1052
11 133 967
12 131 1275
13 141 1165
14 138 1066
15 143 994
16 141 1061
17 138 968
18 134 1314
19 146 1196
20 146 1095
21 145 1003
22 144 972
23 143 1227
24 150 1122
25 155 1033
26 154 951
27 153 1279
28 150 1161
29 151 1073
30 152 987
31 151 1045
32 150 971
33 149 1193
34 152 1099
35 149 1019
36 146 948
37 145 1400
38 165 1295
39 170 1184
40 170 1086
41 170 1000
42 169 1014
43 168 948
44 167 1323
45 168 1213
46 162 1103
47 161 1020
48 159 948
49 158 1348
