0 9 170
1 11 305
2 19 571
3 26 1062
4 35 1018
5 50 963
6 73 1573
7 109 1464
8 140 1321
9 136 1204
10 128 1088
11 125 975
12 118 1337
13 133 1198
14 146 1096
15 146 994
16 145 1050
17 144 971
18 143 1110
19 138 1008
20 138 1006
21 138 1010
22 140 1004
23 141 1036
24 143 959
25 141 1457
26 163 1335
27 167 1236
28 167 1132
29 166 1046
30 165 971
31 164 1150
32 162 1069
33 159 975
34 159 1208
35 156 1110
36 155 1028
37 154 956
38 153 1309
39 154 1193
40 158 1093
41 157 1014
42 156 989
43 155 1052
44 152 981
45 151 1237
46 158 1144
47 160 1049
48 159 964
49 158 1193
